,PKCosecha,PKCiclo,Fecha,Parcial,CantidadCosechada,PesoPromedio,Dispersion,VentaUSDReal,Usuario,TimeStamp,FechaSiembra,FechaCosecha,cycle_days
710,6218,4870,2021-08-24,0,777000,0.43000001,0,0.0,16,08/24/21 11:15:23,2021-07-22,2021-08-24,33.0
711,6219,4887,2021-08-20,0,875000,0.75999999,0,0.0,16,08/24/21 11:20:17,2021-08-08,2021-08-20,12.0
712,6220,4822,2021-08-17,0,517428,24.34,0,61236.0,16,08/24/21 11:24:05,2021-05-19,2021-08-17,90.0
713,6221,4821,2021-08-18,0,790316,21.645,0,78134.0,16,08/24/21 11:24:41,2021-05-18,2021-08-18,92.0
714,6222,4831,2021-08-19,0,111605,24.32,0,12256.0,16,08/24/21 11:25:17,2021-05-25,2021-08-19,86.0
715,6223,4832,2021-08-19,0,90571,25.57,0,11276.0,16,08/24/21 11:25:47,2021-05-25,2021-08-19,86.0
716,6224,4838,2021-08-20,0,609439,24.16,0,70502.0,16,09/01/21 11:14:15,2021-06-09,2021-08-20,72.0
717,6225,4837,2021-08-23,0,692799,23.469999,0,77834.0,16,09/28/21 08:19:11,2021-06-04,2021-08-23,80.0
718,6226,4823,2021-08-21,1,155060,26.040001,0,20555.0,16,09/01/21 11:15:07,2021-05-20,2021-09-04,93.0
719,6227,4845,2021-08-21,1,188712,19.309999,0,16151.0,16,09/01/21 11:16:18,2021-06-16,2021-09-17,66.0
720,6228,4843,2021-08-22,1,251415,17.309999,0,18528.0,16,09/28/21 08:18:41,2021-06-15,2021-09-19,68.0
721,6229,4846,2021-08-22,1,167720,20.15,0,15365.0,16,09/01/21 11:17:52,2021-06-16,2021-09-21,67.0
722,6230,4817,2021-08-24,0,646937,26.610001,0,87230.0,16,09/28/21 08:19:30,2021-05-13,2021-08-24,103.0
723,6231,4836,2021-08-25,0,953373,23.719999,0,107235.0,16,09/28/21 08:24:06,2021-06-02,2021-08-25,84.0
724,6232,4885,2021-08-24,0,784000,2.8099999,0,0.0,16,09/01/21 11:42:40,2021-08-06,2021-08-24,18.0
725,6233,4883,2021-08-25,0,1223000,0.81999999,0,0.0,16,09/01/21 11:46:56,2021-08-04,2021-08-25,21.0
726,6234,4891,2021-08-26,0,935000,0.090000004,0,0.0,16,09/01/21 11:50:49,2021-08-10,2021-08-26,16.0
727,6235,4884,2021-08-17,0,865000,0.87,0,0.0,16,09/01/21 12:08:55,2021-08-05,2021-08-17,12.0
728,6236,4892,2021-08-26,0,1471000,0.090000004,0,0.0,16,09/01/21 12:10:12,2021-08-10,2021-08-26,16.0
729,6237,4893,2021-08-27,0,1323000,0.1,0,0.0,16,09/01/21 12:14:05,2021-08-10,2021-08-27,17.0
730,6238,4894,2021-08-27,0,942000,0.11,0,0.0,16,09/01/21 12:15:36,2021-08-10,2021-08-27,17.0
731,6239,4895,2021-08-28,0,1852000,0.079999998,0,0.0,16,09/01/21 12:17:05,2021-08-11,2021-08-28,17.0
732,6240,4896,2021-08-28,0,523000,0.11,0,0.0,16,09/01/21 12:23:46,2021-08-11,2021-08-28,17.0
733,6241,4888,2021-09-02,0,892000,0.46000001,0,0.0,16,09/08/21 07:47:36,2021-08-07,2021-09-02,26.0
734,6242,4839,2021-09-01,0,566903,26.370001,0,74679.0,16,09/10/21 19:00:39,2021-06-10,2021-09-01,83.0
735,6243,4835,2021-09-01,0,506651,28.4,0,77290.0,16,09/10/21 18:59:21,2021-05-27,2021-09-01,97.0
736,6244,4826,2021-09-03,0,668232,27.309999,0,96190.0,16,09/10/21 19:01:26,2021-05-23,2021-09-03,103.0
737,6245,4823,2021-09-04,0,869095,26.049999,0,115230.0,16,09/10/21 19:02:12,2021-05-20,2021-09-04,107.0
738,6246,4834,2021-09-05,0,559666,29.73,0,96263.0,16,09/10/21 19:04:37,2021-05-27,2021-09-05,101.0
739,6247,4844,2021-09-06,0,710084,25.129999,0,92054.0,16,09/10/21 19:07:53,2021-06-15,2021-09-06,83.0
740,6248,4889,2021-09-02,0,744000,0.46000001,0,0.0,16,09/08/21 07:55:47,2021-08-07,2021-09-02,26.0
741,6249,4908,2021-09-03,0,578000,0.23,0,0.0,16,09/08/21 07:59:06,2021-08-28,2021-09-03,6.0
742,6250,4897,2021-09-03,0,3356000,0.2,0,0.0,16,09/08/21 08:09:35,2021-08-12,2021-09-03,22.0
743,6251,4890,2021-09-07,0,2410000,0.72000003,0,0.0,16,09/15/21 15:36:07,2021-08-07,2021-09-07,31.0
744,6252,4906,2021-09-08,0,1610000,0.69999999,0,0.0,16,09/15/21 15:38:54,2021-08-27,2021-09-08,12.0
745,6253,4907,2021-09-09,0,1891000,0.46000001,0,0.0,16,09/15/21 15:43:19,2021-08-28,2021-09-09,12.0
746,6254,4905,2021-09-15,0,2004000,0.69,0,0.0,16,09/15/21 15:47:35,2021-08-26,2021-09-15,20.0
747,6255,4914,2021-09-11,0,576000,0.15000001,0,0.0,16,09/15/21 15:51:15,2021-08-28,2021-09-11,14.0
748,6256,4915,2021-09-11,0,1517000,0.19,0,0.0,16,09/15/21 15:52:51,2021-08-24,2021-09-11,18.0
749,6257,4845,2021-09-17,0,431854,24.33,0,55666.0,16,11/03/21 13:32:38,2021-06-16,2021-09-17,93.0
750,6258,4913,2021-09-17,0,1418000,0.38999999,0,0.0,16,09/21/21 19:18:05,2021-08-24,2021-09-17,24.0
751,6259,4843,2021-09-19,0,604078,26.24,0,87188.0,16,11/03/21 13:32:59,2021-06-15,2021-09-19,96.0
752,6260,4846,2021-09-21,0,346458,25.549999,0,48466.0,16,11/03/21 13:33:16,2021-06-16,2021-09-21,97.0
753,6261,4849,2021-09-16,1,111610,18.690001,0,9782.0,16,11/03/21 13:32:18,2021-07-02,2021-10-01,76.0
754,6262,4925,2021-09-22,0,595000,0.07,0,0.0,16,09/27/21 15:49:43,2021-09-09,2021-09-22,13.0
755,6263,4926,2021-09-22,0,739000,0.079999998,0,0.0,16,09/27/21 15:50:58,2021-09-09,2021-09-22,13.0
756,6264,4923,2021-09-23,0,906000,0.1,0,0.0,16,09/27/21 15:51:34,2021-09-09,2021-09-23,14.0
757,6265,4924,2021-09-23,0,739000,0.1,0,0.0,16,09/27/21 15:52:20,2021-09-09,2021-09-23,14.0
758,6266,4922,2021-09-24,0,1279000,1.36,0,0.0,16,09/27/21 16:13:28,2021-09-11,2021-09-24,13.0
759,6267,4849,2021-10-01,0,535930,21.57,0,60502.0,16,11/03/21 13:33:36,2021-07-02,2021-10-01,91.0
760,6268,4867,2021-10-02,0,1181460,21.09,0,126773.0,16,11/03/21 13:33:54,2021-07-22,2021-10-02,72.0
761,6269,4928,2021-10-05,0,1599000,0.47,0,0.0,16,10/05/21 15:57:11,2021-09-22,2021-10-05,13.0
762,6270,4862,2021-10-03,0,245668,27.24,0,37388.0,16,11/03/21 13:34:26,2021-07-15,2021-10-03,80.0
763,6271,4863,2021-10-03,0,285383,26.34,0,42568.0,16,11/03/21 13:34:09,2021-07-15,2021-10-03,80.0
764,6272,4881,2021-10-04,0,384722,26.049999,0,53257.0,16,11/03/21 13:34:44,2021-08-02,2021-10-04,63.0
765,6273,4861,2021-10-05,0,260631,26.290001,0,37481.0,16,11/18/21 08:45:19,2021-07-15,2021-10-05,82.0
766,6274,4929,2021-10-06,0,1566000,0.54000002,0,0.0,16,10/11/21 15:16:57,2021-09-23,2021-10-06,13.0
767,6275,4933,2021-10-07,0,1295000,0.07,0,0.0,16,10/11/21 15:19:08,2021-09-23,2021-10-07,14.0
768,6276,4934,2021-10-07,0,859000,0.11,0,0.0,16,10/11/21 15:20:58,2021-09-23,2021-10-07,14.0
769,6277,4931,2021-10-08,0,2261000,0.11,0,0.0,16,10/11/21 15:22:41,2021-09-23,2021-10-08,15.0
770,6278,4866,2021-10-09,0,327054,24.1,0,40212.0,16,11/18/21 08:45:44,2021-07-21,2021-10-09,80.0
771,6279,4882,2021-10-11,0,1491329,23.559999,0,180691.0,16,10/20/21 10:10:42,2021-08-03,2021-10-11,69.0
772,6280,4935,2021-10-12,0,803000,0.079999998,0,0.0,16,10/20/21 09:43:17,2021-09-30,2021-10-12,12.0
773,6281,4936,2021-10-12,0,448000,0.090000004,0,0.0,16,10/20/21 09:45:07,2021-09-30,2021-10-12,12.0
774,6282,4946,2021-10-13,0,661000,0.31,0,0.0,16,10/20/21 09:48:42,2021-09-22,2021-10-13,21.0
775,6283,4944,2021-10-14,0,1475000,0.43000001,0,0.0,16,10/20/21 09:55:29,2021-10-08,2021-10-14,6.0
776,6284,4949,2021-10-13,0,963000,0.31999999,0,0.0,16,10/20/21 09:56:24,2021-09-22,2021-10-13,21.0
777,6285,4943,2021-10-15,0,1737000,0.34999999,0,0.0,16,10/20/21 10:00:11,2021-10-07,2021-10-15,8.0
778,6286,4932,2021-10-16,0,713000,0.27000001,0,0.0,16,10/20/21 10:03:39,2021-09-23,2021-10-16,23.0
779,6287,4937,2021-10-18,0,1123000,0.1,0,0.0,16,10/20/21 10:05:03,2021-10-04,2021-10-18,14.0
780,6288,4938,2021-10-18,0,662000,0.17,0,0.0,16,10/20/21 10:06:13,2021-10-04,2021-10-18,14.0
781,6289,4877,2021-10-14,0,471655,25.26,0,64557.0,16,11/18/21 08:46:31,2021-07-28,2021-10-14,78.0
782,6290,4878,2021-10-18,0,226462,28.84,0,35724.0,16,10/27/21 10:40:21,2021-07-28,2021-10-18,82.0
783,6291,4879,2021-10-18,0,1108174,24.1,0,134029.0,16,11/18/21 08:57:19,2021-07-29,2021-10-18,81.0
784,6292,4876,2021-10-19,0,1041132,25.26,0,140353.0,16,11/18/21 08:57:40,2021-07-28,2021-10-19,83.0
785,6293,4901,2021-10-26,0,599736,22.719999,0,67245.0,16,11/18/21 08:59:48,2021-08-20,2021-10-26,67.0
786,6294,4939,2021-10-22,0,3690000,0.28,0,0.0,16,10/27/21 10:16:05,2021-10-03,2021-10-22,19.0
787,6295,4954,2021-10-27,0,1062000,0.58999997,0,0.0,16,10/27/21 10:19:27,2021-10-18,2021-10-27,9.0
788,6296,4900,2021-10-25,0,319101,22.25,0,35125.0,16,11/18/21 08:59:18,2021-08-19,2021-10-25,67.0
789,6297,4880,2021-10-27,0,719339,25.77,0,98817.0,16,11/09/21 21:13:02,2021-07-30,2021-10-27,89.0
790,6298,4917,2021-10-24,1,161304,17.030001,0,12413.0,16,11/18/21 08:58:03,2021-09-07,2021-11-10,47.0
791,6299,4904,2021-10-24,1,119142,20.74,0,12034.0,16,11/18/21 08:58:36,2021-08-17,2021-11-04,68.0
792,6300,4903,2021-10-25,1,151667,21.290001,0,16064.0,16,11/18/21 08:59:00,2021-08-25,2021-11-23,61.0
